Year,Month,Container Size,Origin,Destination,Rate,Date
2016,Sep,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1300,Sep 2016
2016,Sep,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1610,Sep 2016
2016,Oct,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),570,Oct 2016
2016,Oct,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),700,Oct 2016
2016,Oct,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1450,Oct 2016
2016,Oct,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1880,Oct 2016
2016,Nov,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),580,Nov 2016
2016,Nov,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),720,Nov 2016
2016,Nov,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1350,Nov 2016
2016,Nov,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1760,Nov 2016
2016,Dec,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),570,Dec 2016
2016,Dec,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),710,Dec 2016
2017,Jan,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),600,Jan 2017
2017,Jan,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),760,Jan 2017
2017,Jan,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1400,Jan 2017
2017,Jan,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1730,Jan 2017
2017,Feb,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),600,Feb 2017
2017,Feb,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),750,Feb 2017
2017,Mar,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),640,Mar 2017
2017,Mar,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),780,Mar 2017
2017,Mar,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1310,Mar 2017
2017,Mar,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1630,Mar 2017
2017,Apr,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),650,Apr 2017
2017,Apr,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),780,Apr 2017
2017,May,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),670,May 2017
2017,May,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),780,May 2017
2017,May,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1550,May 2017
2017,May,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1940,May 2017
2017,Jun,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),640,Jun 2017
2017,Jun,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),760,Jun 2017
2017,Jul,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),620,Jul 2017
2017,Jul,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),740,Jul 2017
2017,Jul,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1380,Jul 2017
2017,Jul,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1720,Jul 2017
2017,Aug,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),640,Aug 2017
2017,Aug,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),750,Aug 2017
2017,Sep,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),630,Sep 2017
2017,Sep,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),750,Sep 2017
2017,Sep,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1460,Sep 2017
2017,Sep,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1820,Sep 2017
2017,Oct,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),630,Oct 2017
2017,Oct,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),750,Oct 2017
2017,Nov,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),640,Nov 2017
2017,Nov,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),770,Nov 2017
2017,Nov,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1350,Nov 2017
2017,Nov,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1700,Nov 2017
2017,Dec,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),660,Dec 2017
2017,Dec,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),770,Dec 2017
2018,Jan,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),640,Jan 2018
2018,Jan,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),770,Jan 2018
2018,Jan,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1410,Jan 2018
2018,Jan,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1790,Jan 2018
2018,Feb,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),640,Feb 2018
2018,Feb,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),770,Feb 2018
2018,Mar,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),630,Mar 2018
2018,Mar,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),740,Mar 2018
2018,Mar,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1300,Mar 2018
2018,Mar,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1590,Mar 2018
2018,Apr,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),620,Apr 2018
2018,Apr,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),740,Apr 2018
2018,May,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),660,May 2018
2018,May,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),800,May 2018
2018,May,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1310,May 2018
