Country,PurchaseOrderDate,Type,Product,Variant,SupplierCountry,Quantity,Value,Freight,Air,BDI,Doses,Distance,Volume,StorageCondition,Openness,Weight,TotalWeight
Argentina,2022-03-31,Vaccine,8201,1,Belgium,593000,2965000.0,87485.0,211.7,2358,1,11326.76,134.58859374999997,"Between +2° C and + 8° C, can also be frozen",1.5,0.026041667,15442.708531
Argentina,2022-03-31,Vaccine,8201,1,Belgium,429000,2145000.0,61320.0,211.7,2358,1,11326.76,134.58859374999997,"Between +2° C and + 8° C, can also be frozen",1.5,0.026041667,11171.875143
Cuba,2022-03-31,Vaccine,8205,5,India,120000,193920.0,9880.473372,211.7,2358,5,2114.841,137.18833333333333,"Between +2° C and + 8° C, can also be frozen",1.3,0.030208333,724.999992
Cuba,2022-03-31,Vaccine,8205,10,India,218000,338554.0,17949.52663,211.7,2358,10,2114.841,137.18833333333333,"Between +2° C and + 8° C, can also be frozen",1.3,0.03375,735.7500000000001
Dominican Republic,2022-03-31,Vaccine,8101,10,India,70000,54530.0,6806.0,211.7,2358,10,2508.955,137.18833333333333,"Between +2° C and + 8° C, can also be frozen",2.6,0.03375,236.25
Peru,2022-03-31,Vaccine,7010,10,India,500000,55000.0,23333.0,211.7,2358,10,5890.553,98.4,"Between +2° C and + 8° C, must not be frozen",3.2,0.02625,1312.5
Turks and Caicos,2022-03-31,Vaccine,7120,10,India,1000,165.0,1956.0,211.7,2358,10,2163.191,98.4,"Between +2° C and + 8° C, must not be frozen",3.3,0.027916667,2.7916667
Turks and Caicos,2022-03-31,Vaccine,1901,10,France,100,153.0,2887.0,211.7,2358,10,7041.488,215.3453333333333,"Between +2° C and + 8° C, can also be frozen",3.3,0.033933333,0.33933333
Chile,2022-04-01,Vaccine,1901,10,France,1000,1530.0,1003.0,222.7,2404,10,11663.39,215.3453333333333,"Between +2° C and + 8° C, can also be frozen",3.7,0.033933333,3.393333300000001
Cuba,2022-04-01,Vaccine,1901,10,France,43000,65790.0,1960.0,222.7,2404,10,7729.485,215.3453333333333,"Between +2° C and + 8° C, can also be frozen",1.3,0.033933333,145.9133319
Ecuador,2022-04-01,Vaccine,1404,12,Indonesia,528000,62040.0,28115.0,222.7,2404,20,19116.09,94.56148148148148,Should be -20° C or below,1.4,0.019111111,504.5333304
Ecuador,2022-04-01,Vaccine,1404,12,Indonesia,528000,62040.0,28115.0,222.7,2404,20,19116.09,94.56148148148148,Should be -20° C or below,1.4,0.019111111,504.5333304
Peru,2022-04-04,Vaccine,7120,10,India,500000,82500.0,23333.0,222.7,2404,10,5890.553,98.4,"Between +2° C and + 8° C, must not be frozen",3.2,0.027916667,1395.83335
Argentina,2022-04-05,Vaccine,1901,10,France,500000,765000.0,28050.0,222.7,2404,10,11072.25,215.3453333333333,"Between +2° C and + 8° C, can also be frozen",1.5,0.033933333,1696.6666500000003
Guatemala,2022-04-05,Vaccine,8205,1,India,250000,810000.0,110139.0,222.7,2404,1,3318.143,188.1,"Between +2° C and + 8° C, can also be frozen",3.3,0.043333333,10833.33325
Guatemala,2022-04-05,Vaccine,7010,10,India,299520,33696.0,27200.0,222.7,2404,10,15042.3,186.1640625,"Between +2° C and + 8° C, must not be frozen",3.3,0.038368056,1149.200013312
Argentina,2022-04-08,Vaccine,7010,10,India,250000,27500.0,11667.0,222.7,2404,10,8542.694,98.4,"Between +2° C and + 8° C, must not be frozen",1.5,0.02625,656.25
Argentina,2022-04-08,Vaccine,7405,1,India,250000,262500.0,76198.0,222.7,2404,1,15817.92,93.08203125,"Between +2° C and + 8° C, must not be frozen",1.5,0.0209999999999999,5249.999999999975
Cuba,2022-04-08,Vaccine,1301,5,Netherlands,42000,105000.0,3100.0,222.7,2404,5,7823.974,119.3142857142857,"Between +2° C and + 8° C, must not be frozen",1.3,0.034464286,289.5000024
Honduras,2022-04-08,Vaccine,8205,1,India,104150,337446.0,62617.0,222.7,2404,1,3234.232,188.1,"Between +2° C and + 8° C, can also be frozen",3.8,0.043333333,4513.16663195
Honduras,2022-04-08,Vaccine,8205,1,India,104150,337446.0,62617.0,222.7,2404,1,3234.232,188.1,"Between +2° C and + 8° C, can also be frozen",3.8,0.043333333,4513.16663195
Argentina,2022-04-11,Vaccine,1301,5,Netherlands,1500000,3750000.0,64714.0,222.7,2404,5,11466.75,119.3142857142857,"Between +2° C and + 8° C, must not be frozen",1.5,0.034464286,10339.2858
British Virgin Islands,2022-04-11,Vaccine,7010,10,India,1000,110.0,1956.0,222.7,2404,10,2638.875,98.4,"Between +2° C and + 8° C, must not be frozen",4.1,0.02625,2.625
Panama,2022-04-11,Vaccine,8101,10,India,100000,77900.0,8750.0,222.7,2404,10,3580.789,137.18833333333333,"Between +2° C and + 8° C, can also be frozen",2.5,0.03375,337.5
Bermuda,2022-04-12,Vaccine,1103,1,United States of America,1500,21750.0,4315.0,222.7,2404,1,1248.121,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",2.0,0.020411111,30.6166665
Bermuda,2022-04-12,Vaccine,1901,10,France,200,306.0,930.0,222.7,2404,10,5764.324,215.3453333333333,"Between +2° C and + 8° C, can also be frozen",2.0,0.033933333,0.67866666
Bermuda,2022-04-13,Vaccine,8201,1,Belgium,300,1500.0,2813.0,222.7,2404,1,5879.001,134.58859374999997,"Between +2° C and + 8° C, can also be frozen",2.0,0.026041667,7.8125001
Uruguay,2022-04-13,Vaccine,1103,1,United States of America,50000,725000.0,9897.63,222.7,2404,1,8617.354,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",2.0,0.020411111,1020.55555
Cuba,2022-04-14,Vaccine,1103,1,United States of America,1400,20300.0,5086.14,222.7,2404,1,2114.841,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",1.3,0.020411111,28.5755554
Uruguay,2022-04-15,Vaccine,7120,10,India,15000,2475.0,3911.0,222.7,2404,10,8617.354,98.4,"Between +2° C and + 8° C, must not be frozen",2.0,0.027916667,41.8750005
Uruguay,2022-04-15,Vaccine,8205,1,India,50000,162000.0,26542.0,222.7,2404,1,8617.354,188.1,"Between +2° C and + 8° C, can also be frozen",2.0,0.043333333,2166.66665
Cuba,2022-04-16,Vaccine,7120,10,India,1500,247.5,1956.0,222.7,2404,10,2114.841,98.4,"Between +2° C and + 8° C, must not be frozen",1.3,0.027916667,4.18750005
Nicaragua,2022-04-18,Vaccine,7405,1,India,350000,350000.0,121300.0,222.7,2404,1,15167.33,93.08203125,"Between +2° C and + 8° C, must not be frozen",3.0,0.0194549306399999,6809.225723999964
Brazil,2022-04-19,Vaccine,7010,10,Indonesia,1996800,219648.0,104024.01,222.7,2404,10,15644.48,94.7142857142857,"Between +2° C and + 8° C, must not be frozen",1.4,0.022714286,4535.58862848
Brazil,2022-04-20,Vaccine,7010,10,India,4000000,440000.0,167000.0,222.7,2404,10,7694.307,98.4,"Between +2° C and + 8° C, must not be frozen",1.4,0.02625,10500.0
Aruba,2022-04-21,Vaccine,1103,1,United States of America,2000,29000.0,3920.19,222.7,2404,1,3161.668,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",2.8,0.020411111,40.822222
Aruba,2022-04-21,Vaccine,8205,1,India,900,2916.0,2625.0,222.7,2404,1,3161.668,188.1,"Between +2° C and + 8° C, can also be frozen",2.8,0.043333333,38.9999997
Aruba,2022-04-21,Vaccine,8205,5,India,1500,2424.0,1796.9,222.7,2404,5,3161.668,137.18833333333333,"Between +2° C and + 8° C, can also be frozen",2.8,0.030208333,9.0624999
Bermuda,2022-04-21,Vaccine,602,1,United States of America,300,165.0,1467.0,222.7,2404,1,12154.21,86.4,"Between +2° C and + 8° C, must not be frozen",2.0,0.0173820704,5.21462112
British Virgin Islands,2022-04-21,Vaccine,7120,10,India,1500,247.5,2295.319148,222.7,2404,10,2638.875,98.4,"Between +2° C and + 8° C, must not be frozen",4.1,0.027916667,4.18750005
British Virgin Islands,2022-04-21,Vaccine,8205,1,India,850,2754.0,1300.680851,222.7,2404,1,2638.875,188.1,"Between +2° C and + 8° C, can also be frozen",4.1,0.043333333,36.83333305
Ecuador,2022-04-21,Vaccine,7405,1,India,210500,242075.0,59000.0,222.7,2404,1,15952.83,93.08203125,"Between +2° C and + 8° C, must not be frozen",1.4,0.018967014,3992.556447
Ecuador,2022-04-21,Vaccine,7405,1,India,210500,242075.0,59000.0,222.7,2404,1,15952.83,93.08203125,"Between +2° C and + 8° C, must not be frozen",1.4,0.018967014,3992.556447
Honduras,2022-04-21,Vaccine,7405,1,India,157606,157606.0,62880.0,222.7,2404,1,14995.18,93.08203125,"Between +2° C and + 8° C, must not be frozen",3.8,0.0209932233799999,3308.6579640282644
Honduras,2022-04-21,Vaccine,7405,1,India,157606,157606.0,62880.0,222.7,2404,1,14995.18,93.08203125,"Between +2° C and + 8° C, must not be frozen",3.8,0.0209932233799999,3308.6579640282644
Panama,2022-04-21,Vaccine,1103,1,United States of America,100000,1450000.0,30977.79,222.7,2404,1,3580.789,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",2.5,0.020411111,2041.1111
Uruguay,2022-04-21,Vaccine,1901,10,France,5000,7650.0,965.0,222.7,2404,10,10972.42,215.3453333333333,"Between +2° C and + 8° C, can also be frozen",2.0,0.033933333,16.966666500000002
Ecuador,2022-04-22,Vaccine,8205,5,India,540000,872640.0,65625.0,222.7,2404,5,4584.073,137.18833333333333,"Between +2° C and + 8° C, can also be frozen",1.4,0.030208333,3262.499964
British Virgin Islands,2022-04-23,Vaccine,7405,1,India,2650,2782.5,1685.0,222.7,2404,1,13378.93,93.08203125,"Between +2° C and + 8° C, must not be frozen",4.1,0.0209999999999999,55.649999999999736
Brazil,2022-04-26,Vaccine,7405,1,India,400000,400000.0,59500.0,222.7,2404,1,14441.49,93.08203125,"Between +2° C and + 8° C, must not be frozen",1.4,0.0209999999999999,8399.99999999996
Brazil,2022-04-26,Vaccine,7405,1,India,400000,400000.0,59500.0,222.7,2404,1,14441.49,93.08203125,"Between +2° C and + 8° C, must not be frozen",1.4,0.0209999999999999,8399.99999999996
Brazil,2022-04-26,Vaccine,7405,1,India,400000,400000.0,59500.0,222.7,2404,1,14441.49,93.08203125,"Between +2° C and + 8° C, must not be frozen",1.4,0.0209999999999999,8399.99999999996
Brazil,2022-04-26,Vaccine,7405,1,India,400000,400000.0,59500.0,222.7,2404,1,14441.49,93.08203125,"Between +2° C and + 8° C, must not be frozen",1.4,0.0209999999999999,8399.99999999996
Brazil,2022-04-26,Vaccine,7405,1,India,400000,400000.0,59500.0,222.7,2404,1,14441.49,93.08203125,"Between +2° C and + 8° C, must not be frozen",1.4,0.0209999999999999,8399.99999999996
Cayman Islands,2022-04-26,Vaccine,8201,1,Belgium,1500,7500.0,2813.0,222.7,2404,1,8069.901,134.58859374999997,"Between +2° C and + 8° C, can also be frozen",2.0,0.026041667,39.0625005
Ecuador,2022-04-26,Vaccine,1101,1,Belgium,317000,4073450.0,33064.0,222.7,2404,1,9535.309,31.6,"Between +2° C and + 8° C, must not be frozen",1.4,0.007764583,2461.372811
Brazil,2022-04-27,Vaccine,7120,10,India,640000,105600.0,30000.0,222.7,2404,10,7694.307,98.4,"Between +2° C and + 8° C, must not be frozen",1.4,0.027916667,1786.666688
Costa Rica,2022-04-27,Vaccine,1103,1,United States of America,80000,1160000.0,15000.0,222.7,2404,1,3564.9,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",3.9,0.020411111,1632.88888
Costa Rica,2022-04-28,Vaccine,602,1,United States of America,80000,44000.0,27917.0,222.7,2404,1,15289.71,86.4,"Between +2° C and + 8° C, must not be frozen",3.9,0.01601348472,1281.0787776
